time_sent,temp,internal_resistance,p,innovation,time_recv
1757067696.445844,295.0,0.0001,9.928430499681779e-05,749.9818798,1757067696.8121703
1757067696.8251414,295.019,0.0001,9.857948209770913e-05,2750.4983165619437,1757067697.0673592
1757067697.0806897,295.019,0.0001,9.788528577822444e-05,750.0826086956522,1757067697.3337364
1757067697.3473902,295.019,0.0001,9.720147785156036e-05,750.0826086956522,1757067697.575747
1757067697.590402,295.019,0.0001,9.652782719647997e-05,750.0826086956522,1757067697.8554652
1757067697.8704073,295.038,0.0001,9.58641094972503e-05,3459.971765198564,1757067698.1112137
1757067698.1261873,295.038,0.0001,9.521010699498262e-05,750.1643113813044,1757067698.3711667
1757067698.3911896,295.038,0.0001,9.456560824979602e-05,750.1643113813044,1757067698.6799943
1757067698.6953964,295.056,0.0001,9.393040791325912e-05,3113.1880381100377,1757067698.9188528
1757067698.934726,295.056,0.0001,9.330430651059509e-05,750.2425722508694,1757067699.212388
1757067699.2284148,295.056,0.0001,9.268711023216472e-05,750.2425722508694,1757067699.4782863
1757067699.4953127,295.056,0.0001,9.207863073376999e-05,750.2425722508694,1757067699.7531707
1757067699.7697155,295.075,0.0001,9.14786849453455e-05,3515.4615964799173,1757067700.0330853
1757067700.0499523,295.075,0.0001,9.088709488762983e-05,750.3251809465216,1757067700.2792838
1757067700.2964296,295.075,0.0001,9.030368749643111e-05,750.3251809465216,1757067700.5512471
1757067700.568716,295.075,0.0001,8.972829445412226e-05,750.3251809465216,1757067700.8006628
1757067700.8212655,295.094,0.0001,8.374734235199613e-05,4504.8204666374195,1757067701.0808518
1757067701.099128,295.094,0.0001,7.851880650961331e-05,1500.405854762174,1757067701.3961074
1757067701.4166243,295.094,0.0001,7.390910817295352e-05,1500.405854762174,1757067701.663711
1757067701.681902,295.094,0.0001,6.981452148749894e-05,1500.405854762174,1757067701.953999
1757067701.972175,295.132,0.0001,6.615327517945225e-05,6728.478240126056,1757067702.2529263
1757067702.2712,295.132,0.0001,6.286003584760733e-05,1500.5710721534783,1757067702.518149
1757067702.5365124,295.132,0.0001,5.9881975130894046e-05,1500.5710721534783,1757067702.7806883
1757067702.7990448,295.169,0.0001,5.717591444978525e-05,7128.949098332023,1757067703.0509849
1757067703.0687606,295.169,0.0001,5.470621790717431e-05,1500.7319417186955,1757067703.3607614
